Exch,ScripCode,TradeDate,OpenRate,HighRate,LowRate,CloseRate,Qty
N,154,37380,53.55,56.75,50.05,56.75,3768
N,154,37381,58,59.6,53.95,54.15,10175
N,154,37382,52.6,54.9,51.5,51.7,7614
N,154,37383,51.75,52.2,49.2,49.3,5376
N,154,37384,45.5,52.3,45.5,51.4,5966
N,154,37387,55,56.55,55,56.45,11005
N,154,37388,58.5,60.5,53.45,54.65,10047
N,154,37389,51.65,54.35,49.2,49.2,7000
N,154,37390,49,49,44.3,44.7,4140
N,154,37391,46,46,40.25,40.9,3983
N,154,37394,41,42.85,41,41.45,1718
N,154,37395,41,41,39.4,39.5,3420
N,154,37396,38.5,39,37.55,38,1400
N,154,37397,39.15,39.15,37.9,38.3,275
N,154,37398,39.4,40.05,37.8,40.05,927
N,154,37401,42,42,42,42,165
N,154,37402,43.9,44.1,43.45,43.45,2092
N,154,37403,44.95,45.5,43,43.85,2666
N,154,37404,44,44.05,43.8,43.8,657
N,154,37405,43,43.35,42.5,43.35,1374
N,154,37408,45.4,45.55,45.1,45.55,1047
N,154,37409,46.5,47.8,45.3,46.8,1891
N,154,37410,47.95,48.5,46,47.3,4066
N,154,37411,48,48.6,46.15,46.6,2959
N,154,37412,48.2,48.2,45,45.4,887
N,154,37415,49,50,47,48.65,2127
N,154,37416,50.9,51,48,48.9,2296
N,154,37417,48.9,49.5,47.5,47.7,2404
N,154,37418,49.4,50.25,47,47.6,2303
N,154,37419,46.9,49.5,46.9,48.55,2938
N,154,37422,49.95,50,48.1,48.8,2287
N,154,37423,47,48.75,45.65,45.95,1391
N,154,37424,45.65,46,44.5,45.95,1237
N,154,37425,45.05,48,45,45.5,605
N,154,37426,45,46,40.1,43.65,1536
N,154,37429,44.1,46,44,44.05,635
N,154,37430,40.1,45.45,40.1,44.8,1269
N,154,37431,44.85,46,42.85,42.9,823
N,154,37432,43.1,43.1,42.1,43,3682
N,154,37433,48.7,48.7,43,44,1213
N,154,37436,42.35,44.95,42.35,44.95,829
N,154,37437,45.25,45.9,42.9,42.9,774
N,154,37438,44.9,50,43.8,47.85,2618
N,154,37439,47.5,48,44.55,47.85,1113
N,154,37440,47.85,50,47.85,49.1,3110
N,154,37443,50,54.5,50,52.7,8171
N,154,37444,51.5,52.95,51.5,52.05,2844
N,154,37445,52,52,48,48.15,2918
N,154,37446,48.2,50.25,47.85,47.85,1000
N,154,37447,46.05,46.5,45.35,46.5,375
N,154,37450,45,46,43.4,43.4,684
N,154,37451,43.2,44,42.15,43.55,2375
N,154,37452,42.25,44.35,42.25,44.35,266
N,154,37453,43,48.5,42.1,46.05,612
N,154,37454,42.1,44.05,42,44,1218
N,154,37457,43,43,43,43,100
N,154,37458,42,42,41.2,41.9,925
N,154,37459,40.05,40.4,40.05,40.4,175
N,154,37460,40.85,40.85,40.8,40.8,150
N,154,37461,41.4,41.4,41.4,41.4,100
N,154,37464,40,40,37.6,37.6,1196
N,154,37465,37.25,37.25,37.1,37.1,100
N,154,37466,38,38,37.35,37.35,555
N,154,37467,40.5,40.5,36.1,37,353
N,154,37468,37.5,37.5,36.4,36.45,649
N,154,37471,37,39.95,37,37.7,1868
N,154,37472,40,41,37.55,41,132
N,154,37473,37.25,38.55,37.25,38.55,225
N,154,37474,38.05,38.05,38,38,100
N,154,37475,35.5,38.75,35.5,38,530
N,154,37478,36.4,39,36.4,38.05,476
N,154,37479,40.95,41.9,37.65,37.75,603
N,154,37480,38.75,39,37.35,37.35,116
N,154,37482,37.2,37.45,37.2,37.45,175
